outcome,weightclass,time_format,title,r_kd,r_sub.att,r_rev.,r_ctrl_s,r_sig_str_percent,r_sig_str_att,r_total_str_percent,r_total_str_att,r_td_percent,r_td_att,r_head_percent,r_head_att,r_body_percent,r_body_att,r_leg_percent,r_leg_att,r_distance_percent,r_distance_att,r_clinch_percent,r_clinch_att,r_ground_percent,r_ground_att,r_avg_time_s,r_wins,r_losses,r_draws,r_win_streak,r_loss_streak,r_longest_win_streak,r_percent_title_bouts,r_percent_win_by_ko/tko,r_percent_win_by_sub,r_percent_win_by_dec,r_percent_win_by_doctor_stoppage,r_percent_loss_by_ko/tko,r_percent_loss_by_sub,r_percent_loss_by_dec,r_percent_loss_by_doctor_stoppage,b_kd,b_sub.att,b_rev.,b_ctrl_s,b_sig_str_percent,b_sig_str_att,b_total_str_percent,b_total_str_att,b_td_percent,b_td_att,b_head_percent,b_head_att,b_body_percent,b_body_att,b_leg_percent,b_leg_att,b_distance_percent,b_distance_att,b_clinch_percent,b_clinch_att,b_ground_percent,b_ground_att,b_avg_time_s,b_wins,b_losses,b_draws,b_win_streak,b_loss_streak,b_longest_win_streak,b_percent_title_bouts,b_percent_win_by_ko/tko,b_percent_win_by_sub,b_percent_win_by_dec,b_percent_win_by_doctor_stoppage,b_percent_loss_by_ko/tko,b_percent_loss_by_sub,b_percent_loss_by_dec,b_percent_loss_by_doctor_stoppage,date,r_height,r_reach,r_stance,r_dob,b_height,b_reach,b_stance,b_dob
B,Middleweight,3 Rnd (5-5-5),False,0.4,0.2,0.0,209.6,0.6264501160092807,86.2,0.6973058637083993,126.2,0.4117647058823529,3.4,0.5572289156626505,66.4,0.8493150684931507,14.6,0.8846153846153845,5.2,0.5921450151057402,66.2,0.7735849056603773,10.6,0.702127659574468,9.4,530.0,4,1,0,4,1,4,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.6,1.0,0.2,261.4,0.4920634920634921,50.4,0.618510158013544,88.6,0.5294117647058824,3.4,0.3872832369942196,34.6,0.5348837209302325,8.6,0.9444444444444444,7.2,0.4720812182741117,39.4,0.5161290322580645,6.2,0.625,4.8,605.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16670016.0,72.0,77.0,Orthodox,6002208.0,74.0,76.0,Orthodox,5849280.0
B,Heavyweight,3 Rnd (5-5-5),False,0.2702702702702703,0.08108108108108109,0.02702702702702703,43.78378378378378,0.4498106060606061,85.62162162162163,0.4912882033704655,94.62162162162163,0.3333333333333333,0.6486486486486487,0.3454699407281964,63.83783783783784,0.7212276214833759,10.567567567567568,0.7879518072289158,11.216216216216216,0.4254124254124254,77.0,0.66796875,6.918918918918919,0.6666666666666666,1.7027027027027026,598.2702702702703,22,14,1,22,14,22,0.13513513513513514,0.4090909090909091,0.045454545454545456,0.5454545454545454,0.0,0.5,0.14285714285714285,0.35714285714285715,0.0,0.35714285714285715,0.21428571428571427,0.07142857142857142,153.78571428571428,0.5575757575757576,35.357142857142854,0.6762114537444933,64.85714285714286,0.5,1.0,0.4835164835164835,26.0,0.7391304347826086,4.928571428571429,0.7903225806451613,4.428571428571429,0.47988505747126436,24.857142857142858,0.7391304347826086,3.2857142857142856,0.7425742574257425,7.214285714285714,339.7857142857143,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16670016.0,75.0,77.0,Orthodox,2869344.0,73.0,75.0,Orthodox,4885056.0
B,Middleweight,3 Rnd (5-5-5),False,0.5,0.5,0.0,108.0,0.5775862068965517,58.0,0.6048387096774194,62.0,0.3333333333333333,1.5,0.5,41.0,0.7142857142857143,10.5,0.8461538461538461,6.5,0.5208333333333334,48.0,0.9166666666666666,6.0,0.75,4.0,482.0,1,1,0,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.16666666666666666,217.33333333333334,0.5037783375314862,132.33333333333334,0.5857267188859878,191.5,0.5499999999999999,3.3333333333333335,0.4596100278551532,119.66666666666667,0.8604651162790697,7.166666666666667,1.0,5.5,0.4755747126436781,116.0,0.7592592592592592,9.0,0.6363636363636365,7.333333333333333,778.6666666666666,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16670016.0,76.0,80.0,Orthodox,8048160.0,70.0,73.0,Orthodox,6676128.0
B,Featherweight,3 Rnd (5-5-5),False,0.0,1.8,1.4,202.6,0.44736842105263164,98.8,0.5690834473324214,146.2,0.3076923076923077,5.2,0.37376237623762376,80.8,0.7142857142857142,9.8,0.853658536585366,8.2,0.3753280839895013,76.2,0.6521739130434783,4.6,0.7,18.0,727.2,3,2,0,3,2,3,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,134.66666666666666,0.5794392523364487,35.666666666666664,0.6781609195402298,87.0,0.6666666666666666,2.0,0.5652173913043478,30.666666666666668,0.4444444444444444,3.0,1.0,2.0,0.45283018867924524,17.666666666666668,0.6666666666666666,1.0,0.7058823529411765,17.0,461.6666666666667,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16670016.0,73.0,74.0,Southpaw,9371808.0,72.0,75.0,Southpaw,7064928.0
B,Lightweight,5 Rnd (5-5-5-5-5),True,0.23333333333333334,1.3333333333333333,0.2,117.53333333333333,0.5358711566617862,45.53333333333333,0.6171197223828804,57.63333333333333,0.40963855421686746,2.7666666666666666,0.4496288441145281,31.433333333333334,0.6853146853146853,9.533333333333333,0.8175182481751825,4.566666666666666,0.44712041884816756,31.833333333333332,0.7352941176470589,6.8,0.748792270531401,6.9,414.7,21,8,1,21,8,21,0.06666666666666667,0.14285714285714285,0.7619047619047619,0.09523809523809523,0.0,0.5,0.375,0.125,0.0,0.16666666666666666,0.75,0.25,287.3333333333333,0.5773672055427251,36.083333333333336,0.7106986899563319,76.33333333333333,0.6578947368421053,3.1666666666666665,0.49418604651162784,28.666666666666668,0.9066666666666667,6.25,0.8571428571428571,1.1666666666666667,0.43951612903225806,20.666666666666668,0.8333333333333334,5.0,0.728,10.416666666666666,550.5833333333334,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16663968.0,70.0,74.0,Orthodox,6245856.0,70.0,70.0,Southpaw,6885216.0
R,Bantamweight,5 Rnd (5-5-5-5-5),True,0.0,0.6875,0.125,237.1875,0.5,120.25,0.5872164948453609,151.5625,0.21621621621621623,6.9375,0.38499184339314846,76.625,0.6893617021276596,29.375,0.7280701754385965,14.25,0.4311377245508982,93.9375,0.765,12.5,0.7285067873303167,13.8125,791.5625,13,3,0,13,3,13,0.125,0.07692307692307693,0.3076923076923077,0.5384615384615384,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.5294117647058824,0.7058823529411765,0.0,191.35294117647058,0.41204730229120473,159.1764705882353,0.47724399494311,186.11764705882354,0.30666666666666664,4.411764705882353,0.33786848072562353,129.7058823529412,0.6851063829787234,13.823529411764707,0.7857142857142858,15.647058823529411,0.35660957400087834,133.94117647058823,0.6569767441860466,10.117647058823529,0.7392996108949416,15.117647058823529,748.1764705882352,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16663968.0,67.0,71.0,Orthodox,6178464.0,66.0,67.0,Orthodox,5081184.0
B,Bantamweight,3 Rnd (5-5-5),False,1.0,0.2,0.2,141.1,0.5316074653822999,166.1,0.5841121495327103,192.6,0.6153846153846154,2.6,0.45922116091109483,136.1,0.8333333333333333,21.6,0.9285714285714285,8.4,0.4608959757023539,131.7,0.7819548872180451,13.3,0.815165876777251,21.1,972.4,8,2,0,8,2,8,0.4,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5555555555555556,0.3333333333333333,0.1111111111111111,10.555555555555555,0.6237524950099801,111.33333333333333,0.626953125,113.77777777777777,0.5,0.6666666666666666,0.5645994832041343,86.0,0.7758620689655172,19.333333333333332,0.9814814814814815,6.0,0.6145077720207254,107.22222222222223,0.7857142857142858,1.5555555555555556,0.9130434782608697,2.5555555555555554,532.4444444444445,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16663968.0,67.0,67.0,Switch,7293888.0,71.0,72.0,Switch,7829568.0
R,Lightweight,3 Rnd (5-5-5),False,0.3,0.6,0.05,238.05,0.4957567185289957,70.7,0.5414973882762623,86.15,0.34210526315789475,3.8,0.4056603773584906,53.0,0.7074235807860262,11.45,0.872,6.25,0.43131604226705095,52.05,0.6648351648351648,9.1,0.6858638743455496,9.55,553.75,15,4,0,15,4,15,0.0,0.2,0.3333333333333333,0.4666666666666667,0.0,0.75,0.25,0.0,0.0,0.2,0.2,0.0,133.6,0.5129533678756477,77.2,0.5555555555555556,90.0,0.35294117647058826,10.2,0.449685534591195,63.6,0.717948717948718,7.8,0.9310344827586208,5.8,0.48082595870206496,67.8,0.9333333333333332,3.0,0.65625,6.4,670.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16663968.0,70.0,72.0,Southpaw,6104160.0,70.0,70.0,Southpaw,6608736.0
B,Women's Flyweight Bout,3 Rnd (5-5-5),False,0.06666666666666667,0.3333333333333333,0.0,64.6,0.3535464902609335,181.4,0.4159553512803677,203.06666666666666,0.15384615384615383,1.7333333333333334,0.2749425287356322,145.0,0.6135135135135135,24.666666666666668,0.7784090909090909,11.733333333333333,0.3294346978557505,171.0,0.6781609195402298,5.8,0.8405797101449276,4.6,843.8666666666667,11,4,0,11,4,11,0.06666666666666667,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.25,0.0,0.0,131.75,0.45937961595273263,169.25,0.4903581267217631,181.5,0.5,3.0,0.34766355140186916,133.75,0.8383838383838383,24.75,0.9767441860465116,10.75,0.431438127090301,149.5,0.673469387755102,12.25,0.6666666666666666,7.5,707.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16663968.0,69.0,68.0,Orthodox,5992704.0,67.0,65.0,Orthodox,6352128.0
R,Welterweight,3 Rnd (5-5-5),False,0.0,0.1875,0.0,214.5625,0.4315222272114953,139.1875,0.5148416886543535,189.5,0.35051546391752575,6.0625,0.38481675392670156,119.375,0.616580310880829,12.0625,0.8629032258064516,7.75,0.404363267376966,123.1875,0.6162790697674418,5.375,0.6529411764705882,10.625,835.6875,12,3,1,12,3,12,0.0,0.08333333333333333,0.08333333333333333,0.8333333333333334,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.2,0.8,0.2,320.2,0.5414012738853503,94.2,0.6549560853199499,159.4,0.6086956521739131,4.6,0.4462809917355372,72.6,0.7142857142857143,4.2,0.896551724137931,17.4,0.5106888361045131,84.2,0.5714285714285715,1.4,0.8372093023255814,8.6,783.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16663968.0,71.0,72.0,Orthodox,5844096.0,70.0,72.0,Orthodox,7224768.0
B,Middleweight,3 Rnd (5-5-5),False,0.25,0.25,0.0,19.25,0.4224,156.25,0.42789223454833597,157.75,0.16666666666666666,1.5,0.34274193548387094,124.0,0.7009345794392523,26.75,0.8636363636363636,5.5,0.41402337228714525,149.75,0.5833333333333334,6.0,1.0,0.5,734.25,3,1,0,3,1,3,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,610.0,0.581081081081081,37.0,0.6627218934911243,84.5,0.8333333333333334,3.0,0.54,25.0,0.5555555555555556,9.0,1.0,3.0,0.4489795918367347,24.5,0.6666666666666666,1.5,0.8636363636363636,11.0,868.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16663968.0,74.0,75.0,Orthodox,6344352.0,70.0,75.0,Southpaw,7271424.0
B,Light Heavyweight,3 Rnd (5-5-5),False,0.2727272727272727,0.0,0.0,78.81818181818181,0.47063978965819453,103.72727272727273,0.5438335809806836,122.36363636363636,0.23076923076923073,1.1818181818181819,0.3748584371460929,80.27272727272727,0.7000000000000001,10.909090909090908,0.8840579710144929,12.545454545454545,0.43126967471143757,86.63636363636364,0.6694915254237288,10.727272727272727,0.6714285714285714,6.363636363636363,616.0,6,5,0,6,5,6,0.09090909090909091,0.5,0.0,0.5,0.0,0.4,0.2,0.4,0.0,0.3125,0.5625,0.3125,146.0,0.5697399527186762,52.875,0.6789727126805778,77.875,0.35714285714285715,1.75,0.5099667774086378,37.625,0.6826347305389222,10.4375,0.7922077922077922,4.8125,0.44074074074074077,33.75,0.7878787878787878,10.3125,0.8085106382978723,8.8125,397.625,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16663968.0,74.0,75.0,Orthodox,6221664.0,75.0,77.0,Orthodox,6999264.0
R,Welterweight,3 Rnd (5-5-5),False,0.0,0.0,0.0,184.0,0.49612403100775193,64.5,0.6161616161616161,99.0,0.3333333333333333,3.0,0.4247787610619469,56.5,1.0,4.5,1.0,3.5,0.4838709677419355,62.0,0.8,2.5,0.0,0.0,535.0,1,1,0,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0.3157894736842105,38.0,0.6777777777777778,90.0,0.5,2.0,0.21428571428571427,28.0,0.625,8.0,0.5,2.0,0.23529411764705882,34.0,1.0,2.0,1.0,2.0,836.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16663968.0,71.0,72.0,Orthodox,6269184.0,73.0,71.0,Switch,7305120.0
R,Middleweight,3 Rnd (5-5-5),False,0.0,0.0,0.5,39.5,0.541095890410959,146.0,0.5494505494505495,182.0,0.0,0.0,0.3291139240506329,79.0,0.7321428571428571,28.0,0.8333333333333334,39.0,0.5276752767527675,135.5,0.0,0.0,0.7142857142857143,10.5,900.0,1,1,0,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,0.5777777777777777,90.0,0.6181818181818182,110.0,0.0,0.0,0.5189873417721519,79.0,1.0,6.0,1.0,5.0,0.5641025641025641,78.0,0.5555555555555556,9.0,1.0,3.0,900.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16663968.0,75.0,71.0,Orthodox,6575040.0,73.0,76.0,Orthodox,6956928.0
R,Flyweight,3 Rnd (5-5-5),False,0.5,0.5,0.0,357.5,0.4117647058823529,17.0,0.576271186440678,29.5,0.46153846153846156,13.0,0.3,10.0,0.4444444444444444,4.5,0.8,2.5,0.4,15.0,0.5,1.0,0.5,1.0,479.0,2,0,0,2,0,2,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,99.5,0.4444444444444444,29.25,0.6032608695652174,46.0,0.25,3.0,0.41509433962264153,26.5,1.0,0.75,0.625,2.0,0.3218390804597701,21.75,0.7142857142857143,1.75,0.8260869565217391,5.75,327.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16663968.0,67.0,70.0,Orthodox,9649152.0,67.0,71.0,Switch,6430752.0
R,Women's Bantamweight Bout,3 Rnd (5-5-5),False,0.2,0.0,0.2,274.6,0.5513812154696133,181.0,0.6253229974160206,232.2,0.5,2.8,0.4609720176730486,135.8,0.8641975308641976,16.2,0.7999999999999999,29.0,0.5145888594164455,150.8,0.8135593220338982,11.8,0.6847826086956522,18.4,900.0,4,1,0,4,1,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,232.88888888888889,0.554806070826307,65.88888888888889,0.6510638297872341,104.44444444444444,0.2777777777777778,2.0,0.4257907542579075,45.666666666666664,0.8466666666666666,16.666666666666668,0.84375,3.5555555555555554,0.375,36.44444444444444,0.7903225806451611,20.666666666666668,0.7468354430379746,8.777777777777779,800.2222222222222,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16663968.0,65.0,67.0,Orthodox,7887456.0,67.0,65.0,Orthodox,3848256.0
R,Women's Flyweight Bout,5 Rnd (5-5-5-5-5),False,0.0,0.5555555555555556,0.3333333333333333,104.66666666666667,0.43375394321766564,140.88888888888889,0.5318892900120338,184.66666666666666,0.5714285714285714,0.7777777777777778,0.34729315628192037,108.77777777777777,0.7077922077922078,17.11111111111111,0.7481481481481481,15.0,0.3931469792605951,123.22222222222223,0.6893939393939394,14.666666666666666,0.8518518518518517,3.0,744.5555555555555,6,3,0,6,3,6,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.14285714285714285,0.5714285714285714,0.0,180.28571428571428,0.4809619238476953,142.57142857142858,0.5343511450381679,168.42857142857142,0.6,3.5714285714285716,0.41437125748502995,119.28571428571429,0.7878787878787878,14.142857142857142,0.875,9.142857142857142,0.47439916405433646,136.71428571428572,0.7333333333333334,2.142857142857143,0.5769230769230769,3.7142857142857144,864.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16657920.0,65.0,66.0,Orthodox,7448544.0,64.0,68.0,Orthodox,5329152.0
B,Bantamweight,3 Rnd (5-5-5),False,0.42857142857142855,0.09523809523809523,0.047619047619047616,58.285714285714285,0.5120341614906833,122.66666666666667,0.5419792783136835,133.28571428571428,0.5454545454545454,1.0476190476190477,0.42425847457627125,89.9047619047619,0.7323943661971831,16.904761904761905,0.7747747747747747,15.857142857142858,0.47583148558758315,107.38095238095238,0.7924528301886793,7.571428571428571,0.7407407407407407,7.714285714285714,730.1904761904761,13,8,0,13,8,13,0.0,0.46153846153846156,0.0,0.5384615384615384,0.0,0.125,0.625,0.25,0.0,0.5,0.0,0.1,94.7,0.4829376854599406,134.8,0.49858156028368794,141.0,0.5,1.0,0.38636363636363635,96.8,0.6837606837606838,23.4,0.8013698630136986,14.6,0.4462809917355372,121.0,0.8292682926829269,4.1,0.7938144329896908,9.7,827.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16657920.0,68.0,70.0,Orthodox,4365792.0,68.0,70.0,Southpaw,7668000.0
B,Middleweight,3 Rnd (5-5-5),False,0.4,0.0,0.0,28.2,0.6842105263157894,26.6,0.744186046511628,34.4,0.4,1.0,0.5402298850574714,17.4,0.9473684210526316,7.6,1.0,1.6,0.527027027027027,14.8,0.951219512195122,8.2,0.7222222222222222,3.6,143.4,2,3,0,2,3,2,0.0,0.5,0.0,0.0,0.5,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,130.8,0.48247978436657674,74.2,0.5509761388286334,92.2,0.28571428571428575,2.8,0.4210526315789474,64.6,0.8571428571428571,7.0,1.0,2.6,0.37200000000000005,50.0,0.813953488372093,8.6,0.6538461538461539,15.6,449.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16657920.0,74.0,77.0,Orthodox,6867936.0,73.0,74.0,Orthodox,7693056.0
R,Bantamweight,3 Rnd (5-5-5),False,0.11764705882352941,0.11764705882352941,0.0,73.29411764705883,0.41454545454545455,97.05882352941177,0.46166574738003313,106.6470588235294,0.37777777777777777,2.6470588235294117,0.3019182652210175,70.52941176470588,0.6214689265536724,10.411764705882353,0.7737226277372263,16.11764705882353,0.3802721088435374,86.47058823529412,0.6458333333333333,5.647058823529412,0.75,4.9411764705882355,695.7647058823529,11,6,0,11,6,11,0.0,0.18181818181818182,0.09090909090909091,0.7272727272727273,0.0,0.5,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,97.0,0.5142045454545454,352.0,0.5591939546599496,397.0,0.0,1.0,0.40476190476190477,252.0,0.7710843373493976,83.0,0.8823529411764706,17.0,0.5015384615384615,325.0,0.6666666666666666,27.0,0.0,0.0,900.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16657920.0,65.0,66.0,Orthodox,3958848.0,67.0,68.0,Switch,5470848.0
B,Light Heavyweight,3 Rnd (5-5-5),False,0.0,0.5833333333333334,0.25,87.16666666666667,0.5167037861915368,37.416666666666664,0.6348733233979136,55.916666666666664,0.4358974358974359,3.25,0.44023323615160354,28.583333333333332,0.7051282051282051,6.5,0.9285714285714285,2.3333333333333335,0.4125,26.666666666666668,0.6944444444444445,6.0,0.8771929824561404,4.75,300.0,6,6,0,6,6,6,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.125,0.125,0.125,178.5,0.5746102449888641,56.125,0.6303939962476548,66.625,0.36363636363636365,1.375,0.5301507537688442,49.75,0.8518518518518519,3.375,1.0,3.0,0.5221238938053098,42.375,0.65625,8.0,0.8478260869565217,5.75,504.125,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16657920.0,75.0,77.0,Orthodox,5413824.0,72.0,76.0,Orthodox,5615136.0
R,Bantamweight,3 Rnd (5-5-5),False,1.0,0.5,0.5,37.5,0.502127659574468,117.5,0.5938461538461538,162.5,0.6666666666666666,1.5,0.37579617834394907,78.5,0.7090909090909091,27.5,0.8695652173913043,11.5,0.49056603773584906,106.0,0.5,3.0,0.6470588235294118,8.5,900.0,1,1,0,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.0,47.625,0.37840670859538783,119.25,0.42150333016175073,131.375,0.45454545454545453,1.375,0.27906976744186046,91.375,0.6195652173913043,11.5,0.7633587786259542,16.375,0.35634743875278396,112.25,0.8064516129032258,3.875,0.64,3.125,689.875,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16657920.0,70.0,70.0,Orthodox,8277120.0,70.0,72.0,Orthodox,6421248.0
B,Middleweight,3 Rnd (5-5-5),False,0.0,0.3333333333333333,1.0,362.0,0.4895833333333333,32.0,0.6297872340425532,78.33333333333333,0.46875,10.666666666666666,0.42857142857142855,25.666666666666668,0.75,4.0,0.7142857142857143,2.3333333333333335,0.39705882352941174,22.666666666666668,0.8666666666666666,5.0,0.5384615384615385,4.333333333333333,625.3333333333334,2,1,0,2,1,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,421.75,0.5833333333333334,60.0,0.6967213114754098,122.0,0.3888888888888889,13.5,0.5565610859728507,55.25,0.875,4.0,1.0,0.75,0.5277777777777778,36.0,0.47058823529411764,4.25,0.7088607594936709,19.75,679.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16657920.0,72.0,76.0,Southpaw,8828352.0,69.0,73.0,Orthodox,8093952.0
R,Women's Strawweight,3 Rnd (5-5-5),False,0.0,0.0,0.0,313.0,0.5681818181818182,88.0,0.6209677419354839,124.0,0.75,4.0,0.43333333333333335,60.0,0.8571428571428571,21.0,0.8571428571428571,7.0,0.4857142857142857,70.0,0.8333333333333334,12.0,1.0,6.0,900.0,1,0,0,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.8,0.4791252485089464,100.6,0.6266666666666667,150.0,0.39999999999999997,3.0,0.4432432432432432,74.0,0.5671641791044776,13.4,0.5909090909090909,13.2,0.4074074074074074,81.0,0.7560975609756099,8.2,0.7894736842105263,11.4,766.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16657920.0,63.0,63.0,Orthodox,7214400.0,65.0,64.0,Orthodox,7096896.0
R,Flyweight,3 Rnd (5-5-5),False,1.0,3.0,2.0,417.0,0.6551724137931034,87.0,0.6742424242424242,132.0,0.2,5.0,0.6081081081081081,74.0,0.8333333333333334,6.0,1.0,7.0,0.5,30.0,1.0,2.0,0.7272727272727273,55.0,900.0,1,0,0,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.5,0.5616438356164384,146.0,0.6626794258373205,209.0,0.0,0.0,0.4095744680851064,94.0,0.8214285714285714,42.0,0.9,10.0,0.5113122171945701,110.5,0.71875,16.0,0.717948717948718,19.5,900.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16657920.0,67.0,70.0,Orthodox,9489312.0,66.0,68.0,Orthodox,6772032.0
B,Welterweight,3 Rnd (5-5-5),False,0.0,0.0,0.0,151.66666666666666,0.5629139072847682,50.333333333333336,0.6818181818181819,73.33333333333333,0.5,0.6666666666666666,0.5384615384615384,43.333333333333336,0.7333333333333333,5.0,0.6666666666666666,2.0,0.48623853211009177,36.333333333333336,0.8750000000000001,5.333333333333333,0.6923076923076924,8.666666666666666,392.3333333333333,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36231884057971014,69.0,0.36231884057971014,69.0,0.0,0.0,0.2553191489361702,47.0,0.42857142857142855,14.0,0.875,8.0,0.36231884057971014,69.0,0.0,0.0,0.0,0.0,179.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16657920.0,74.0,74.0,Orthodox,4802976.0,69.0,71.0,Switch,8478432.0
B,Women's Strawweight,5 Rnd (5-5-5-5-5),False,0.1111111111111111,1.4444444444444444,0.2222222222222222,160.55555555555554,0.35454545454545455,97.77777777777777,0.42502482621648463,111.88888888888889,0.09090909090909091,3.6666666666666665,0.29404145077720206,85.77777777777777,0.7121212121212122,7.333333333333333,0.9047619047619048,4.666666666666667,0.2948717948717949,86.66666666666667,0.8163265306122449,5.444444444444445,0.8235294117647058,5.666666666666667,657.2222222222222,7,2,0,7,2,7,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,66.625,0.4234592445328032,188.625,0.4767171129220023,214.75,0.6666666666666666,1.5,0.3681229773462783,154.5,0.6730769230769231,13.0,0.6745562130177515,21.125,0.40071942446043163,173.75,0.6704545454545454,11.0,0.7419354838709677,3.875,847.25,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16645824.0,64.0,63.0,Orthodox,7329312.0,65.0,63.0,Orthodox,6139584.0
R,Welterweight,3 Rnd (5-5-5),False,0.23076923076923078,0.38461538461538464,0.15384615384615385,129.53846153846155,0.48639999999999994,96.15384615384616,0.5228758169934641,105.92307692307692,0.35,1.5384615384615385,0.4115853658536585,75.6923076923077,0.754601226993865,12.538461538461538,0.7766990291262136,7.923076923076923,0.4210526315789473,77.46153846153847,0.8309859154929577,10.923076923076923,0.6534653465346535,7.769230769230769,634.2307692307693,9,4,0,9,4,9,0.0,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.0,0.5,0.25,0.25,0.0,0.2,0.44,0.12,143.08,0.44798890429958393,86.52,0.5043929712460065,100.16,0.43478260869565216,1.84,0.3549731983323407,67.16,0.7382920110192838,14.52,0.8677685950413224,4.84,0.3872832369942196,69.2,0.7088607594936708,9.48,0.6683673469387755,7.84,737.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16645824.0,75.0,78.0,Orthodox,6473952.0,69.0,70.0,Southpaw,2727648.0
